text,intent
bonjour je voudrais obtenir un document officiel concernant mon abonnmeent d’eau,demande_document
je veux résilier mon abonnement,resiliation
J’ai vraiment besoin d’une réponse rapide je voulais savoir donnez-moi un document parce que chez moi où la pression est très faible depuis plusieurs jours et ça devietn compliqué pour moi,demande_document
eske que vous pouvez m'expliquer svp aidez moi je veux comprendre commnet réactiver mon compteur d’eau je viens d’emménager ici svp j’ai besoin d’aide,info_reabonnement
jours de travail de la société togolaise des eaux,horaire_agence
"On souffre un peu ici, j’aimerais comprendre est-ce que vous pouvez m'expliquer svp aidez moi je veux comprendre toute la procédure pour avoir l’eau à domicile récemment j’ai commencé à remarquer ça et aussi expliquez moi les coûts liés à l’eau",info_branchement
"On souffre un peu ici, j’aimerais comprendre est-ce que vous pouvez m'expliquer combien je peux payer pr l’eau je viens juste de prendre la maison aidez-moi svp",simulation_facture
vous ouvrez kel heure depuis que je suis rentré à la maison pourquoi ? aidez-moi svp et aussi je veux comprendre la tde,horaire_agence
fuite d’eau à adidogomé récemment j’ai commencé à remarquer ça pourquoi ? aidez-moi svp,signaler_fuite
je souhaite signaler une fuite d’eau,signaler_fuite
S’il vous plaît c’est assez urgent dans mon cas eske que vs pouvez m'expliquer franchement ça fait un moment que j’ai fait la demande et je voudrais savoir où ça en est sur mon branchement actuel pardon pour le dérangement et aussi je veux résilier mon abonnement,suivi_demande_branchement
Je reviens au pays et j’essaie de comprendre le système est-ce que vous pouvez m'expliquer je veux faire une demande de branchement dans un foyer avec pluseiurs enfants,demande_branchement
horaires d’ouverture je suis nouveau dans cette zone pourquoi ? merci d’avance et uassi bonjour je sohuaite résilier mon abonnement d’eau car je ne suis plus sur place,horaire_agence
mettre l’abonnement à mon nom ça fait plusieurs juors mainteannt pourquoi ? merci d’avance et aussi comment sont fixés les prix de l’eau,modification_abonnement
Ça fait plusieurs jours que j’ai un problème est-ce que vs pouvez m'expliquer bonjour je voudrais comprendre commetn sont appliqués les tarifs de l’eau potable et combein cela peut me coûter par mois dans ma maison au niveau de mon secteur ici veuillez m’aider s’il vous plaît,info_tarif
Ça fait plusieurs jours que j’ai un problème je voulais savoir ma zone est-elle couverte par la société togolaise des eaux parce que on est plusieurs à la maison et ça devient compliqué pr moi je vous remercie,zone_couverture
