text,intent,service,response,guide,entities
je n'ai plus d'eau,signaler_coupure,Technique,Votre demande est prise en compte.,,
Pas d'eau depuis hier à Lomé,signaler_coupure,Technique,Information reçue.,,lieu=Lomé
Pas d'eau depuis hier svp,signaler_coupure,Technique,Information reçue.,,
Pas d'eau depuis hier à Aného,signaler_coupure,Technique,Votre demande est prise en compte.,,lieu=Aného
Pas d'eau depuis hier,signaler_coupure,Technique,Votre demande est prise en compte.,,
je n'ai plus d'eau,signaler_coupure,Technique,Nous allons vous aider.,,
Hmmm Pas d'eau depuis hier,signaler_coupure,Technique,Information reçue.,,
pas d'eau depuis hier,signaler_coupure,Technique,Merci pour votre message.,,
Plus d'eau chez moi,signaler_coupure,Technique,Merci pour votre message.,,
Pas d'eau depuis hier à Tsévié,signaler_coupure,Technique,Merci pour votre message.,,lieu=Tsévié
Je n'ai plus d'eau,signaler_coupure,Technique,Information reçue.,,
pas d'eau depuis hier,signaler_coupure,Technique,Merci pour votre message.,,
Hmmm Pas d'eau depuis hier,signaler_coupure,Technique,Votre demande est prise en compte.,,
Hmmm Pas d'eau depuis hier,signaler_coupure,Technique,Information reçue.,,
Hmmm Pas d'eau depuis hier,signaler_coupure,Technique,Information reçue.,,
Hmmm Plus d'eau chez moi,signaler_coupure,Technique,Information reçue.,,
Pas d'eau depuis hier,signaler_coupure,Technique,Merci pour votre message.,,
Pas d'eau depuis hier,signaler_coupure,Technique,Nous allons vous aider.,,
Je n'ai plus d'eau,signaler_coupure,Technique,Nous allons vous aider.,,
Pas d'eau depuis hier svp,signaler_coupure,Technique,Merci pour votre message.,,
Je n'ai plus d'eau svp,signaler_coupure,Technique,Nous allons vous aider.,,
Plus d'eau chez moi svp,signaler_coupure,Technique,Information reçue.,,
je n'ai plus d'eau,signaler_coupure,Technique,Information reçue.,,
Plus d'eau chez moi,signaler_coupure,Technique,Information reçue.,,
Plus d'eau chez moi à Agoè,signaler_coupure,Technique,Merci pour votre message.,,lieu=Agoè
Plus d'eau chez moi à Lomé,signaler_coupure,Technique,Merci pour votre message.,,lieu=Lomé
je n'ai plus d'eau,signaler_coupure,Technique,Information reçue.,,
Pas d'eau depuis hier à Tsévié,signaler_coupure,Technique,Nous allons vous aider.,,lieu=Tsévié
Hmmm Je n'ai plus d'eau,signaler_coupure,Technique,Votre demande est prise en compte.,,
Hmmm Plus d'eau chez moi,signaler_coupure,Technique,Votre demande est prise en compte.,,
Je n'ai plus d'eau svp,signaler_coupure,Technique,Merci pour votre message.,,
Plus d'eau chez moi,signaler_coupure,Technique,Merci pour votre message.,,
je n'ai plus d'eau,signaler_coupure,Technique,Information reçue.,,
Hmmm Je n'ai plus d'eau,signaler_coupure,Technique,Nous allons vous aider.,,
Hmmm Pas d'eau depuis hier,signaler_coupure,Technique,Merci pour votre message.,,
Pas d'eau depuis hier,signaler_coupure,Technique,Nous allons vous aider.,,
je n'ai plus d'eau,signaler_coupure,Technique,Merci pour votre message.,,
Hmmm Je n'ai plus d'eau,signaler_coupure,Technique,Merci pour votre message.,,
Plus d'eau chez moi,signaler_coupure,Technique,Votre demande est prise en compte.,,
Plus d'eau chez moi,signaler_coupure,Technique,Information reçue.,,
plus d'eau chez moi,signaler_coupure,Technique,Votre demande est prise en compte.,,
Hmmm Plus d'eau chez moi,signaler_coupure,Technique,Information reçue.,,
plus d'eau chez moi,signaler_coupure,Technique,Information reçue.,,
je n'ai plus d'eau,signaler_coupure,Technique,Information reçue.,,
Je n'ai plus d'eau svp,signaler_coupure,Technique,Nous allons vous aider.,,
Pas d'eau depuis hier à Aného,signaler_coupure,Technique,Nous allons vous aider.,,lieu=Aného
Pas d'eau depuis hier svp,signaler_coupure,Technique,Information reçue.,,
Hmmm Pas d'eau depuis hier,signaler_coupure,Technique,Merci pour votre message.,,
Hmmm Je n'ai plus d'eau,signaler_coupure,Technique,Merci pour votre message.,,
Hmmm Plus d'eau chez moi,signaler_coupure,Technique,Nous allons vous aider.,,
Hmmm Je n'ai plus d'eau,signaler_coupure,Technique,Information reçue.,,
pas d'eau depuis hier,signaler_coupure,Technique,Nous allons vous aider.,,
je n'ai plus d'eau,signaler_coupure,Technique,Nous allons vous aider.,,
Pas d'eau depuis hier,signaler_coupure,Technique,Nous allons vous aider.,,
Hmmm Plus d'eau chez moi,signaler_coupure,Technique,Merci pour votre message.,,
Pas d'eau depuis hier svp,signaler_coupure,Technique,Nous allons vous aider.,,
Pas d'eau depuis hier,signaler_coupure,Technique,Nous allons vous aider.,,
pas d'eau depuis hier,signaler_coupure,Technique,Nous allons vous aider.,,
pas d'eau depuis hier,signaler_coupure,Technique,Merci pour votre message.,,
Hmmm Pas d'eau depuis hier,signaler_coupure,Technique,Votre demande est prise en compte.,,
Hmmm Plus d'eau chez moi,signaler_coupure,Technique,Votre demande est prise en compte.,,
Hmmm Plus d'eau chez moi,signaler_coupure,Technique,Information reçue.,,
Pas d'eau depuis hier,signaler_coupure,Technique,Information reçue.,,
Plus d'eau chez moi à Tsévié,signaler_coupure,Technique,Merci pour votre message.,,lieu=Tsévié
Plus d'eau chez moi svp,signaler_coupure,Technique,Merci pour votre message.,,
Pas d'eau depuis hier svp,signaler_coupure,Technique,Information reçue.,,
je n'ai plus d'eau,signaler_coupure,Technique,Merci pour votre message.,,
Je n'ai plus d'eau svp,signaler_coupure,Technique,Information reçue.,,
Je n'ai plus d'eau à Lomé,signaler_coupure,Technique,Votre demande est prise en compte.,,lieu=Lomé
Plus d'eau chez moi svp,signaler_coupure,Technique,Information reçue.,,
Hmmm Canalisation cassée,signaler_fuite,Technique,Nous allons vous aider.,,
Hmmm Canalisation cassée,signaler_fuite,Technique,Merci pour votre message.,,
Hmmm Fuite devant maison,signaler_fuite,Technique,Merci pour votre message.,,
Canalisation cassée,signaler_fuite,Technique,Merci pour votre message.,,
Hmmm Fuite devant maison,signaler_fuite,Technique,Nous allons vous aider.,,
Fuite devant maison svp,signaler_fuite,Technique,Nous allons vous aider.,,
canalisation cassée,signaler_fuite,Technique,Votre demande est prise en compte.,,
Il y a une fuite,signaler_fuite,Technique,Merci pour votre message.,,
Fuite devant maison svp,signaler_fuite,Technique,Votre demande est prise en compte.,,
canalisation cassée,signaler_fuite,Technique,Merci pour votre message.,,
Hmmm Canalisation cassée,signaler_fuite,Technique,Merci pour votre message.,,
Il y a une fuite svp,signaler_fuite,Technique,Information reçue.,,
canalisation cassée,signaler_fuite,Technique,Votre demande est prise en compte.,,
Canalisation cassée svp,signaler_fuite,Technique,Information reçue.,,
Hmmm Canalisation cassée,signaler_fuite,Technique,Information reçue.,,
Il y a une fuite,signaler_fuite,Technique,Information reçue.,,
Canalisation cassée à Adidogomé,signaler_fuite,Technique,Votre demande est prise en compte.,,lieu=Adidogomé
Hmmm Canalisation cassée,signaler_fuite,Technique,Nous allons vous aider.,,
canalisation cassée,signaler_fuite,Technique,Merci pour votre message.,,
Fuite devant maison à Lomé,signaler_fuite,Technique,Information reçue.,,lieu=Lomé
il y a une fuite,signaler_fuite,Technique,Votre demande est prise en compte.,,
Hmmm Canalisation cassée,signaler_fuite,Technique,Merci pour votre message.,,
Hmmm Il y a une fuite,signaler_fuite,Technique,Votre demande est prise en compte.,,
