text,intent
C’est important pour moi d’avoir une solution franchement une famille utilise combien d’eau ça fait plusieurs jours maintenant ça me fatigue un peu,info_consommation_moyenne
Depuis hier j’ai un souci chez moi franchement hein kwa chez nous ici là ça me fatigue un peu et aussi combien je vai payer pour leau,fallback
franchement je veux savoir si on peut avoir de l’eau dans mon quartier,zone_couverture
J’ai vraiment besoin d’une réponse rapide est-ce que vous pouvez m'expliquer svp je pense qu’il y a une erreur dans ma facture pouvez-vous vérifier sur mon brancehment actuel svp,reclamation_facture
"Grand, j’ai un souci avec ça là je voulais savoir svp je pense qu’il y a une erreur dans ma facture pouvez-vous vérifier parce que depuis quelques jours déjà et ça devient compliqué pour moi je vous remercie",reclamation_facture
kel papier pour resilier abonnemnet depuis quelques jours déjà pourquoi ? aidez-moi svp,documents_resiliation
"Bonsoir, je vous contacte parce que j’ai une préoccupation est-ce que vous pouvez m'expliquer comment vous avoir aidez-moi svp",contact_service_client
bonsoir on n’a plus d’eau dans notre quartier depuis plusieurs heures je suis nouveau dans cette zone pourquoi ? et ausis eau trouble,signaler_coupure
je veux comprendre vos services dans mon coin ici pourquoi ? merci beaucoup et aussi le montant de ma facture semble incorrect,info_generale_tde
donnez-moi un document où l’eau est un peu sale pourquoi ? svp,demande_document
leau pa propre depuis ce matin pourquoi ? merci d’avance,signaler_eau_sale
coupure d’eau dans ma zone dans ontre quartier ici à Tokoin pourquoi ? et aussi je souhaite connaître la consommatoin moyenne d’eau par foyer,signaler_coupure
qeuls papiers fournir à la tde pour arrêter mon contrat au niveau de l’installation d’eau pourquoi ? merci,documents_resiliation
"Svp, j’ai un petit souci et je ne sais pas quoi faire est-ce que vous pouvez m'expliquer je veux faire un raccordement pour mon terrain au nivaeu de li’nstallation d’eau je vous remercie",demande_branchement
"Chef, y a un problème ici chez nous est-ce que vous pouvez m'expliquer c’est quels papiers vous avez là pr une famille de 5 personnes s’il vous plaît",documents_generaux
Je viens d’emménager et je ne comprends pas encore tout je voulais savoir odcuments pour branchement parce que chez nous ici là et ça devient compliqué pour moi je vous remercie,documents_branchement
Franchement ça commence à m’inquiéter est-ce que vous pouvez m'expliquer faible pression d’eau à la tde on est environ 4 à utiliser l’eau veuillez m’aider s’il vous plaît et aussi fuite d’eau signalée à la tde,signaler_basse_pression
Franchement je ne comprends pas comment ça fonctionne je voulais savoir vous êtes les responsables de l’eau dans tout lomé ou bien parce que dans ma zone de résidence et ça devinet compliqué pour moi merci,info_generale_tde
Ça devient compliqué pour moi en ce momnet franchement bonsoir l’eau est trouble dans mon quartier et ça m’inquiète chez nous dans le quartier ça me fatigue un peu merci d’avance,signaler_eau_sale
je voudrais savoir où en est ma demande de branchement et aussi kan ouvrir tde,suivi_demande_branchement
Je vous écris pour avoir des informations précises est-ce que vous pouvez m'expliquer document disponible a la tde ça fait plusieurs jours maintenant s’il vous plaît,documents_generaux
Je suis vraiment fatigué de cette situation franchement c’est quels papiesr vous avez là dans mon coin ici ça me fatigue un peu merci beaucoup,documents_generaux
"Salut, je voulais me renseigner sur quelque hcose je voulais savoir svp est-ce que ma maison est éligible à un raccordement à l’eau parce que je reviens au pays récemmnet et ça devient compliqué pour moi merci",eligibilite_branchement
"Bonjour, j’aurais besoin d’un renseignement s’il vous plaît je voulais savoir parce que depuis hier soir et ça devient compliqué pour moi merci et aussi je veux savoir l’état de mon branchement dans mon quariter",info_generale_tde
Je ne comprends pas trop ce qui se passe chez moi est-ce que vous pouvez m'expliquer svp il y a de l’eau mais la pression est vraiment trop faible pour une utilisation normale chez moi avec ma famille svp,signaler_basse_pression
