text,intent,service,response,guide,entities
"Bonjour, je vous contacte car depuis hier il n'y a plus d'eau du tout dans mon quartier à Tsévié, pouvez-vous vérifier s'il y a une panne ?",signaler_coupure,Technique,Réponse automatique générée.,,lieu=Tsévié
"Bonjour, je vous contacte car depuis hier il n'y a plus d'eau du tout dans mon quartier à Agoè, pouvez-vous vérifier s'il y a une panne ?",signaler_coupure,Technique,Réponse automatique générée.,,lieu=Agoè
"Bonjour, je vous contacte car depuis hier il n'y a plus d'eau du tout dans mon quartier à Lomé, pouvez-vous vérifier s'il y a une panne ?",signaler_coupure,Technique,Réponse automatique générée.,,lieu=Lomé
"Bonjour, je vous contacte car depuis hier il n'y a plus d'eau du tout dans mon quartier à Adidogomé, pouvez-vous vérifier s'il y a une panne ?",signaler_coupure,Technique,Réponse automatique générée.,,lieu=Adidogomé
"Bonjour, je vous contacte car depuis hier il n'y a plus d'eau du tout dans mon quartier à Tsévié, pouvez-vous vérifier s'il y a une panne ?",signaler_coupure,Technique,Réponse automatique générée.,,lieu=Tsévié
"Bonjour, je vous contacte car depuis hier il n'y a plus d'eau du tout dans mon quartier à Aného, pouvez-vous vérifier s'il y a une panne ?",signaler_coupure,Technique,Réponse automatique générée.,,lieu=Aného
"Bonjour, je vous contacte car depuis hier il n'y a plus d'eau du tout dans mon quartier à Lomé, pouvez-vous vérifier s'il y a une panne ?",signaler_coupure,Technique,Réponse automatique générée.,,lieu=Lomé
"Bonjour, je vous contacte car depuis hier il n'y a plus d'eau du tout dans mon quartier à Kegue, pouvez-vous vérifier s'il y a une panne ?",signaler_coupure,Technique,Réponse automatique générée.,,lieu=Kegue
"Bonjour, je vous contacte car depuis hier il n'y a plus d'eau du tout dans mon quartier à Aného, pouvez-vous vérifier s'il y a une panne ?",signaler_coupure,Technique,Réponse automatique générée.,,lieu=Aného
"Bonjour, je vous contacte car depuis hier il n'y a plus d'eau du tout dans mon quartier à Lomé, pouvez-vous vérifier s'il y a une panne ?",signaler_coupure,Technique,Réponse automatique générée.,,lieu=Lomé
"Bonjour, je vous contacte car depuis hier il n'y a plus d'eau du tout dans mon quartier à Kegue, pouvez-vous vérifier s'il y a une panne ?",signaler_coupure,Technique,Réponse automatique générée.,,lieu=Kegue
"Bonjour, je vous contacte car depuis hier il n'y a plus d'eau du tout dans mon quartier à Adidogomé, pouvez-vous vérifier s'il y a une panne ?",signaler_coupure,Technique,Réponse automatique générée.,,lieu=Adidogomé
"Bonjour, je vous contacte car depuis hier il n'y a plus d'eau du tout dans mon quartier à Agoè, pouvez-vous vérifier s'il y a une panne ?",signaler_coupure,Technique,Réponse automatique générée.,,lieu=Agoè
"Bonjour, je vous contacte car depuis hier il n'y a plus d'eau du tout dans mon quartier à Adidogomé, pouvez-vous vérifier s'il y a une panne ?",signaler_coupure,Technique,Réponse automatique générée.,,lieu=Adidogomé
"Bonjour, je vous contacte car depuis hier il n'y a plus d'eau du tout dans mon quartier à Tsévié, pouvez-vous vérifier s'il y a une panne ?",signaler_coupure,Technique,Réponse automatique générée.,,lieu=Tsévié
"Bonjour, je vous contacte car depuis hier il n'y a plus d'eau du tout dans mon quartier à Aného, pouvez-vous vérifier s'il y a une panne ?",signaler_coupure,Technique,Réponse automatique générée.,,lieu=Aného
"Bonjour, je vous contacte car depuis hier il n'y a plus d'eau du tout dans mon quartier à Kegue, pouvez-vous vérifier s'il y a une panne ?",signaler_coupure,Technique,Réponse automatique générée.,,lieu=Kegue
"Bonjour, je vous contacte car depuis hier il n'y a plus d'eau du tout dans mon quartier à Adidogomé, pouvez-vous vérifier s'il y a une panne ?",signaler_coupure,Technique,Réponse automatique générée.,,lieu=Adidogomé
"Bonjour, je vous contacte car depuis hier il n'y a plus d'eau du tout dans mon quartier à Tsévié, pouvez-vous vérifier s'il y a une panne ?",signaler_coupure,Technique,Réponse automatique générée.,,lieu=Tsévié
"Bonjour, je vous contacte car depuis hier il n'y a plus d'eau du tout dans mon quartier à Lomé, pouvez-vous vérifier s'il y a une panne ?",signaler_coupure,Technique,Réponse automatique générée.,,lieu=Lomé
"Bonjour, je vous contacte car depuis hier il n'y a plus d'eau du tout dans mon quartier à Tsévié, pouvez-vous vérifier s'il y a une panne ?",signaler_coupure,Technique,Réponse automatique générée.,,lieu=Tsévié
"Bonjour, je vous contacte car depuis hier il n'y a plus d'eau du tout dans mon quartier à Kegue, pouvez-vous vérifier s'il y a une panne ?",signaler_coupure,Technique,Réponse automatique générée.,,lieu=Kegue
"Bonjour, je vous contacte car depuis hier il n'y a plus d'eau du tout dans mon quartier à Lomé, pouvez-vous vérifier s'il y a une panne ?",signaler_coupure,Technique,Réponse automatique générée.,,lieu=Lomé
"Bonjour, je vous contacte car depuis hier il n'y a plus d'eau du tout dans mon quartier à Tsévié, pouvez-vous vérifier s'il y a une panne ?",signaler_coupure,Technique,Réponse automatique générée.,,lieu=Tsévié
"Bonjour, je vous contacte car depuis hier il n'y a plus d'eau du tout dans mon quartier à Aného, pouvez-vous vérifier s'il y a une panne ?",signaler_coupure,Technique,Réponse automatique générée.,,lieu=Aného
"Bonjour, je vous contacte car depuis hier il n'y a plus d'eau du tout dans mon quartier à Agoè, pouvez-vous vérifier s'il y a une panne ?",signaler_coupure,Technique,Réponse automatique générée.,,lieu=Agoè
"Bonjour, je vous contacte car depuis hier il n'y a plus d'eau du tout dans mon quartier à Aného, pouvez-vous vérifier s'il y a une panne ?",signaler_coupure,Technique,Réponse automatique générée.,,lieu=Aného
"Bonjour, je vous contacte car depuis hier il n'y a plus d'eau du tout dans mon quartier à Kegue, pouvez-vous vérifier s'il y a une panne ?",signaler_coupure,Technique,Réponse automatique générée.,,lieu=Kegue
"Bonjour, je vous contacte car depuis hier il n'y a plus d'eau du tout dans mon quartier à Adidogomé, pouvez-vous vérifier s'il y a une panne ?",signaler_coupure,Technique,Réponse automatique générée.,,lieu=Adidogomé
"Bonjour, je vous contacte car depuis hier il n'y a plus d'eau du tout dans mon quartier à Adidogomé, pouvez-vous vérifier s'il y a une panne ?",signaler_coupure,Technique,Réponse automatique générée.,,lieu=Adidogomé
"Bonjour, je vous contacte car depuis hier il n'y a plus d'eau du tout dans mon quartier à Kegue, pouvez-vous vérifier s'il y a une panne ?",signaler_coupure,Technique,Réponse automatique générée.,,lieu=Kegue
"Bonjour, je vous contacte car depuis hier il n'y a plus d'eau du tout dans mon quartier à Kegue, pouvez-vous vérifier s'il y a une panne ?",signaler_coupure,Technique,Réponse automatique générée.,,lieu=Kegue
"Bonjour, je vous contacte car depuis hier il n'y a plus d'eau du tout dans mon quartier à Aného, pouvez-vous vérifier s'il y a une panne ?",signaler_coupure,Technique,Réponse automatique générée.,,lieu=Aného
"Bonjour, je vous contacte car depuis hier il n'y a plus d'eau du tout dans mon quartier à Aného, pouvez-vous vérifier s'il y a une panne ?",signaler_coupure,Technique,Réponse automatique générée.,,lieu=Aného
"Bonjour, je vous contacte car depuis hier il n'y a plus d'eau du tout dans mon quartier à Agoè, pouvez-vous vérifier s'il y a une panne ?",signaler_coupure,Technique,Réponse automatique générée.,,lieu=Agoè
"Bonjour, je vous contacte car depuis hier il n'y a plus d'eau du tout dans mon quartier à Agoè, pouvez-vous vérifier s'il y a une panne ?",signaler_coupure,Technique,Réponse automatique générée.,,lieu=Agoè
"Bonjour, je vous contacte car depuis hier il n'y a plus d'eau du tout dans mon quartier à Lomé, pouvez-vous vérifier s'il y a une panne ?",signaler_coupure,Technique,Réponse automatique générée.,,lieu=Lomé
"Bonjour, je vous contacte car depuis hier il n'y a plus d'eau du tout dans mon quartier à Aného, pouvez-vous vérifier s'il y a une panne ?",signaler_coupure,Technique,Réponse automatique générée.,,lieu=Aného
"Bonjour, je vous contacte car depuis hier il n'y a plus d'eau du tout dans mon quartier à Adidogomé, pouvez-vous vérifier s'il y a une panne ?",signaler_coupure,Technique,Réponse automatique générée.,,lieu=Adidogomé
"Bonjour, je vous contacte car depuis hier il n'y a plus d'eau du tout dans mon quartier à Aného, pouvez-vous vérifier s'il y a une panne ?",signaler_coupure,Technique,Réponse automatique générée.,,lieu=Aného
"Bonjour, je vous contacte car depuis hier il n'y a plus d'eau du tout dans mon quartier à Tsévié, pouvez-vous vérifier s'il y a une panne ?",signaler_coupure,Technique,Réponse automatique générée.,,lieu=Tsévié
