text,intent
redurie consomation eau où on a souvent des coupures pourquoi je vous remercie,signaler_coupure
bonsoir je suis un peu perdu j aimerais comprendre comment vous faites arriver l eau potable dans nos miasons nous sommes une rgande famille ici pourquoi je vous remercie,info_generale_tde
bonjour je voudrais savoir combien coûte l eau dans mon quartier parce que je trouve que les montants sont un peu élevés merci,info_tarif
bonsoir je voulais juste comprendre quelque chose rapidement eske que vous pouvez m expliquer document pour branchement deau dans ma maison avec ma famille depuis hier merci d avance,demande_branchement
je vous écris pour avoir des infomrations précises franchement comment vous contacter par rapport à mon abonnement actuel ça me fatigue un peu merci d avance,contact_service_client
ce st important pr moi d avoir une solution est ce que vous opuvez m expliquer quels papiers il faut déposer pour que l eau revienne au niveau des robinets chez moi merci d avance,documents_reabonnement
bonsoir je souhaite suivre lévolution de ma demnade de raccordement pour savoir si elle avance,demande_branchement
documents nécessaires pour un branchement à la société togolaise des eaux là où je suis actuellement poruquoi merci,demande_branchement
je souhaite vérifier si ma zone est desservie par le réseau d eau où la pression est très faible pourquoi s il vous plaît,zone_couverture
je veux parler à un agent tde,info_generale_tde
s il vous plaît pouvez vous m aider à comprendre franchement ça n a rien à voir dans la zone où je viens d emménager ça me fatigue un peu,zone_couverture
on souffre un peu ici j aimerais comprendre est ce que vous pouvez m expliquer aidez moi je veux prévoir combien je vais payer dans ma zone de résidence svp,simulation_facture
franchement il y a beaucoup d eau qui se perd à cause d une fuite près de chez moi dans la maison que je viens de louer pourquoi svp,signaler_fuite
c est ouvert aujourdh ui ou pas,horaire_agence
bonsoir je vs contacte parce que j ai une préoccupation franchement salut je veux vérifier si ma zone est desservie par votre réseau dans mon foyer ça me fatigue un peu merci d avance,zone_couverture
il y a un problème avec ma facture dans mon quartier à lomé pourquoi,info_tarif
bonsoir je vous contacte parce que j ai une préoccupation est ce que vous pouvez m expliquer bonjour svp je voudrais savoir si ma zone est couverte par la tde merci dans la zone où je viens d emménager merci hein,info_generale_tde
donnez moi des astuces pr l eau,conseil_consommation
grand j ai un souci avec ça là est ce que vous pouvez m expliquer leau ne coule plu depuis quelques jours déjà svp j ai besoin d aide,signaler_coupure
franchement je ne comprends pas comment ça fonctionne franchement le au coule lentement à lomé chez moi à adidogomé depuis ce matin ça me fatigue un peu merci beaucoup,signaler_basse_pression
svp pouvez vous m expliquer en détail la procédure pour obtenir un branchement d eau potable,demande_branchement
honnêtement je suis un peu confus franchement je souhaite signaler une fuite d eau au niveau de mon compteur depuis un moment ça me fatgiue un peu merci beaucoup,signaler_fuite
s il vous plaît pouvez vous m aider à comprendre est ce que vous pouvez m expilquer horaire travail tde chez nous ici là merci,info_generale_tde
s il vous plaît c est assez urgent dans mon cas est ce que vous pouvez m expliquer quelles sont les pièces justificatives demandées pr un branchement chez moi avec ma famille veuillez m aider s il vous plîat,demande_branchement
on demande kwa comme documents depuis que je suis rentré à la maison pourquoi pardon pour le dérangement,documents_branchement
s il vous plaît pouvez vous m aider à comprendre franchement résilier mon contrat d eau sur touet l installation dans la maison ça me fatigue un peu pardon pour le dérangement,resiliation
franchement je suis perdu pouvez vous ma ider autrement au niveau des robinets chez moi pourquoi je compte sur vous,fallback
franchement où en est mon dossier dpeuis quelques jours déjà ça me fatigue un peu s il vs plaît,suivi_demande_branchement
est ce que vous pouvez m expliquer comment remettre l eau avec la tde chez moi même ici je vous remercie,info_generale_tde
eau de mauvaise qualité,signaler_eau_sale
on utilise combien d eau,info_consommation_moyenne
chef y a un problème ici chez nous franchement la moyenne d eau c est combien chez moi avec ma familel ça me fatigue un peu aidez moi svp,info_consommation_moyenne
bonsoir je vous contacte parce que j ai une préoccupation franchement bonsoir je voudrais savoir quelels sont les pièces à fournir pour un raccordement à l eau dans ma maison pr ma maison ça me fatigue un peu veuillez m aider s il vous plaît,demande_branchement
absence d eau dans ma zone pourquoi pardon pour le dérangement,zone_couverture
installer un compteur chez moi,demande_branchement
documents pour résiliation,documents_branchement
quelles sont les pièces justificatives pour un réabonnement chez moi où la pression est très faible depuis plusieurs jours pourquoi merci d avance,documents_branchement
depuis hier j ai un souci chez moi franchement données sur l utilisation moyenne de l eau au niveau de mon secetur ici ça me fatigue un peu merci hein,fallback
j aimerais bien avoir des explications claires est ce que vous pouvez m expliquer je veux comprendre comment vous travaillez chez moi où la pression est très faible depius plusieurs jours pardon pr le dérangement,info_generale_tde
j aimerais bien avoir des explications claires franchement je souhaite signaler une faible pression d eau au niveau de mon compteur depuis un moment ça me fatigue un peu aidez moi svp,signaler_basse_pression
on souffre un peu ici j aimerais comprendre franchement svp pouvez vous me dire quels papiers sont demandés pour arrêter mon contrat d eau dans un foyer avec plusieurs enfants ça me fatigue un peu,documents_resiliation
franchement ça commence à m inquiéter est ce que vous pouvez m expliquer quand ouvrir bureau tde au niveau de l installation d eau,info_generale_tde
j ai vraiment besoin d une réponse rapide franchement c est combien l eau en moyenne chez moi où la pression est très faible depuis plusieurs jours ça me fatigue un peu pardon pour le dérangement,info_consommation_moyenne
franchement je ne comprends pas ma facture d eau elle est trop chère pour moi,info_tarif
je veux parler directement à quelqu un,contact_service_client
s il vs plaît c est assez urgent dans mon cas franchement salut je veux réactiver mon compteur pouvez vous me donner la liste complète des documents à fournir chez moi à adidogomé depuis ce matin ça me fatigue un peu,documents_branchement
est ce que vous pouvez m expliquer svp est ce que ma maison est éligible à un raccordement à l eau au niveau de mon compteur,demande_branchement
estimé ma facture deau je reviens au pays récemment pourquoi je vous remercie,info_tarif
l eau est faible là,signaler_basse_pression
moyenne consommation eau,info_consommation_moyenne
chef y a un problème ici chez nous franchement expliqeuz moi les frais sur ma consommation d eau dans la zone où je viens d emménager ça me fatigue un peu merci,zone_couverture
bonjour excusez moi de vous déranger mais j ai une question franchement je veux changer mon abonnement chez moi avec ma famille ça me fatigue un peu merci d avance,modification_abonnement
je veux installer l eau via la société togolaise des eaux,demande_branchement
franchement je ne comprends pas comment ça fonctionne franchement ipèces pour remettre l eau ça me fatigue un peu,documents_reabonnement
l eau est bizarre où l eau est un peu sale pourquoi,signaler_eau_sale
salut je voulais me renseigner sur quelque chose set ce que vous pouvez m expliquer je souhaite mettre à jour les informations de mon contrat svp j ai besoin d aide,modification_abonnement
comment se réabonner à la tde chez moi avec ma famille pourquoi je vous remercie,info_generale_tde
ça fait plusieurs jours que j ai un problème franchement mauvaise qualité d eau dans mon quartier dans ma nouvelle maison ça me fatigue un peu meric hein,zone_couverture
je vous écris pour avoir des informations précises est ce que vous pouvez m explqiuer bonjour je n ai plus d eau chez moi depuis ce matin pouvez vous vérifier s il vous plaît,signaler_coupure
comment remettre leau apres coupur dans la zone où j habite actuellement pourquoi s il vous plaît,zone_couverture
je suis un peu perdu par rapport à tout ça est ce que vous pouvez m expliquer je dois préparer quoi pour arrêter le contrat où l eau est un peu sale,signaler_eau_sale
demande de changement de ttiulaire du compteur,modification_abonnement
s il vs plaît pouvez vous m aider à comprendre franchement eau trouble à lomé dans ma concession ça me fatigue un peu svp j ai besoin d aide,signaler_eau_sale
je veux un branchement d eau chez moi à adidogomé on est environ 4 à utiliser l eau pourquoi,demande_branchement
c est important pr moi d avoir une solution est ce que vous pouvez m expliquer je veux passer à votre agence pour un renseignement je viens juste de prendre la maison je compte sur vs,contact_service_client
je veu mabonner a leau,demande_abonnement
svp pouvez vous m aider à récupérer ma facture ou un justificatif lié à mon abonnement dans mon quartier à lomé depuis quelques jours pourquoi,info_tarif
svp je veux installer un compteur d eau chez moi pouvez vous m aider à faire la demande dans mon foyer pourquoi merci,demande_branchement
processus de réactivation d un compteur d eau ça dure depuis un bon moment pourquoi,info_reabonnement
la tde peut estimer ma facture d eau où on a souvent des coupures pourquoi,info_tarif
je veux récupérer ça pourquoi veuillez m aider s il vous plaît,demande_document
je ne comprends pas cette facture là,info_tarif
bonjour excusez moi de vous déranger mais j ai une question est ce que vous pouvez m expliquer mon habitation est elle éligible à la tde sur mon branchement actuel svp j ai besoin d aide,info_generale_tde
c est combien en général pourquoi svp,info_consommation_moyenne
c est quoi la procédure pour ouvrir un abonnement à la tde par rapport à mon abonnement actuel pourquoi svp,info_generale_tde
arrêter mon contrat d eau dans la zone où je viens d emménager pourquoi merci hein,zone_couverture
bonsoir je vous contacte parce que j ai une préoccupation franchement on peut avoir l eau ici dans mon foyer ça me fatigue un peu veuillez m aider s il vs plaît,zone_couverture
c est possible d avoir l eau,eligibilite_branchement
on souffre un peu ici j aimerais comprendre franchement demande de vérification de faisabilité de raccordement dans ma zone de résidence ça me fatigue un peu merci d avance,demande_branchement
expliquez moi le service d eau au togo nous sommes une grande famille ici pourquoi je compte sur vous,info_generale_tde
salut je voulais me renseigner sur quelque chose franchement plages horaires du servcie client nous sommes une grande famille ici ça me fatigue un peu svp,horaire_agence
osuscrire un contrat d eau,demande_abonnement
franchement bonjour je souhaite résilier mon abonnement d eau car je ne suis plus sur place dans la zone où je viens d emménager ça me aftigue un peu,resiliation
bonjour l eau colue très lentement chez moi pouvez vous vérifier la pression nous sommes une grande famille ici pourquoi aidez moi svp,signaler_basse_pression
je veux mettre le compteur à mon nom là ça dure depuis un bon moment pourquoi veuillez m aider s il vs plaît,modification_abonnement
quoi,fallback
l eau ne vient pas bien,signaler_basse_pression
étapes pour remettre l eau,info_branchement
honnêtement je suis un peu confus est ce que vous pouvez m expliquer on consomme combien d eau depuis quelques jours déjà merci beauocup,info_consommation_moyenne
bonjour je voudrais obtenir un document officiel concernant mon abonnement d eau pour une famille de 5 personnes pourquoi pardon pour le dérangement,demande_document
ça fuit quelque part,signaler_fuite
bonjour excusez moi de vs déranger mais j ai une question est ce que vous pouvez m expliquer l eau ne vient pas bien chez moi avec ma famille je compte sur vous,signaler_basse_pression
s il vous plaît c est assez urgent dans mon cas franchement je veux savoir quels documents vous sortez je viens juste de prendre la maison ça me fatigue un peu,documents_branchement
on fait comment pour réactiver,documents_reabonnement
bonsoir je vs contacte parce que j ai une préoccupation est ce que vous pouvez m expliquer estimer ma facture d eau nous sommes une grande famille ici merci,info_tarif
franchement ça commence à m inquiéter franchement je veux qu on coupe mon o je viens d emménager ici ça me fatigue un peu svp,resiliation
je ne comprends pas trop ce qui se passe chez moi est ce que vs pouvez m expliquer l eau n est pas claire dans ma zone de résidence,zone_couverture
franchement ça commence à m inquiéter est ce que vous pouvez m expliquer moyenne eau tde dans ma zone de résidence merci hein,info_generale_tde
franchement ma facture est trop chère là dans ma maison avec ma famille depuis hier ça me fatigue un peu svp,info_tarif
bonjour je voudrais savoir comment réduire ma consommation deau chez moi dans la maison que je viens de louer pourquoi merci,conseil_consommation
est ce que vous pouvez m expliquer coupure d eau à la tde je reviens au pays récemment merci d avance,info_generale_tde
je souhaite installer l eau dans ma maison à lomé dans mon coin ici pourquoi pardon pour le déranegment,demande_branchement
bonjour excusez moi de vous déranger mais j ai une question franchement la tde peut estimer ma facture d eau dans mon quartier à lomé ça me fatigue un peu je ocmpte sur vous,info_tarif
ça fait plusieurs jours que j ai un problème franchement combien coute leau je suis nouveau dans cette zone ça me fatigue un peu merci,zone_couverture
je voudrais apprendre à utiliser l eau de manière plus efficace pour mon habitation principale pourquoi je compte sur vous,conseil_consommation
c est important pour moi d avoir une solution franchement modifier mon abonement on est environ 4 à utiliser l eau ça me fatigue un peu merci hein,modification_abonnement
quelle est la procédure pr remettre l eau,info_branchement
vous ne comprenez pas ma question là où je suis actuellement pourquoi merci hein,fallback
honnêtement je suis un peu confus est ce que vous pouvez m expliquer je voudrais apprendre à utiliser l eau de manière plus efficace depuis hier soir aidez moi svp,conseil_consommation
eau disponible zone dans ma zone de résidence pourquoi svp,zone_couverture
ma facture n est pas normale au niveau de l installation d eau pourquoi svp j ai besoin d aide,info_tarif
franchement ça commence à m inquiéter franchement tuyau gâté l eau coule où l eau ne coule presque pas ça me fatigue un peu je compte sur vous,signaler_fuite
salut je veux résilier mon abonnement pouvez vous me donner la liste complète des documents à fournir dans mon quartier à lomé depuis quelques jours pourquoi je compte sur vous,documents_branchement
bonjour j aurais besoin d un renseignement s il vous plaît franchemetn changement de nom sur un abonnement d eau dans ma nouvelle maison ça me fatigue un peu merci d avance,modification_abonnement
franchement je peux avoir l eau chez moi à lomé dans ma concession ça me fatigue un peu,eligibilite_branchement
grand j ai un souci avec ça là est ce que vs pouvez m expliquer c est quoi votre mission principale chez moi à adidoogmé s il vous plaît,info_generale_tde
quelles sont les démarches pr avoir l eau,info_branchement
l eau est vraiment mauvaise,signaler_eau_sale
la tde c est bien la société togolaise des eaux non chez moi où la pression est très faible depuis plusieurs jours pourquoi svp,info_generale_tde
je veux savoir ça a bougé ou pas au niveau de l installation d eau pourquoi svp,suivi_demande_branchement
modifier mon abonnement à la tde,info_generale_tde
je suis vraiment fatigué de ectte situation est ce que vous pouvez m expliquer je veux savoir combien je vais payer dans mon foyer chaque mois sur mon branchement actuel s il vous plaît,demande_branchement
ouvrir un abonnement d eau,horaire_agence
ça fait plusieurs jours que j ai un problème est ce que vous pouvez m expliquer svp aidez moi je veux comprendre toute la procédure pour avoir l eau à domicile au niveau de mon secteur ici merci beaucoup,info_branchement
je veux chagner le nom sur le compteur là où je suis actuellement pourquoi,modification_abonnement
ça devient compliqué pour moi en ce moment franchement problème d approvisionnemetn en eau dans ma nouvelle maison ça me fatigue un peu veuillez m aider s il vous plaît,signaler_coupure
documents pour résiliation de mon abonnement dans mon foyer depuis que je suis rentré à la maison pourquoi merci,documents_branchement
détails sur le branchement je suis nouveau dans cette zone pourquoi je compte sur vous,demande_branchement
salut je veux transférer l abonnement à mon nom car j occupe maintenant la maison,modification_abonnement
est ce que vous pouvez m expliquer je veux connîatre toutes les étapes nécessaires pour avoir l eau chez moi dans ma zone de résidence je vous remercie,info_branchement
ça devient compliqué pour moi en ce moment est ce que vous pouvez m expliquer svp aidez moi je veux changer les informations de mon compteur dans ma nouvelle maison je vous remercie,modification_abonnement
franchement je ne comprends pas comment ça fonctionne franchement comment reprendre mon abonnement d eau au niveau de l installation d eau ça me fatigue un peu svp,info_reabonnement
bonsoir je voulais juste comprendre quelque chose rapidement est ce que vous pouvez m explqiuer je veu savoir combien sa va me couté depuis ce matin svp,simulation_facture
grand j ai un osuci avec ça là est ce que vous pouvez m expliquer l eau ne sort plus du robinet pour une famille de 5 personnes svp j ai besoin d aide,signaler_coupure
s il vous plaît pouvez vous m aider à copmrendre franchement comment avoir ma facture d eau à lomé dans la maison que je viens de louer ça me fatigue un peu s il vous plaît,info_tarif
