text,intent
je veux suivre mon dossier de raccordement à lomé et aussi comment ça se passe pour installer un compteur d’eau,suivi_demande_branchement
mauvaise qualité d’eau à la société togolaise des eaux chez moi où la presison est très faible depuis plusieurs juors pourquoi ? merci beaucoup,signaler_eau_sale
je souhaite signaler un problème de pression d’eau insuffisante dans ma zone,signaler_basse_pression
optimiser l’eau pour une famille de 5 personnes par rapport à mon abonnement actuel pourquoi ?,conseil_consommation
"Svp, j’ai un petit souci et je ne sais pas kwa faire franchement quels documents sont exigés pour réactiver un abonnement d’eau depuis ce maitn ça me fatigue un peu s’il vs plaît",documents_reabonnement
je voudrais avoir votre numéro de téléphone pour vous contacter dans la zone où je viens d’emménager pourquoi ? je compte sur vs,contact_service_client
je veux suivre mon branchement,suivi_demande_branchement
erreur de facturation eau ça dure depuis un bon moment pourquoi ? s’il vous plaît,reclamation_facture
"Grand, j’ai un souci avec ça là franchement tuyau cassé près de chez moi je viens d’emménager ici ça me fatigue un peu",signaler_fuite
"Grand, j’ai un souci avec ça là franchement svp aidez moi je veux savoir quels documents je dois fournir pour avoir l’eau chez moi depuis hier soir ça me fatigue un peu je compte sur vous",documents_branchement
Je ne comprends pas trop ce qui se passe chez moi est-ce que vous opuvez m'expliquer où puis-je vous trouver physiquement chez moi à Adidogomé depuis ce matin aidez-moi svp et aussi incident de coupure d’eau,contact_service_client
franchement c’est kwa la procédure pour ouvrir un abonnement à la tde chez moi où la pression est très faible depuis plusieurs jours ça me fatigue un peu merci d’avance,demande_abonnement
Honnêtement je suis un peu confus franchement je veux créer un abonnement chez vous par rapport à mon abonneemnt actuel ça me fatigue un peu merci,demande_abonnement
je veux savoir combein je vais payer dans mon foyer chaque mois,simulation_facture
Depuis hier j’ai un souci chez moi est-ce que vous pouvez m'expliquer salut je veux connaître la consommation normale d’eau chez un foyer je viens jsute de prendre la maison je vous remercie,info_consommation_moyenne
ouvrir un contrat d’eau potable,demande_abonnement
fuite d’eau chez moi au niveau de l’installation d’eau pourquoi ? svp j’ai besoin d’aide,signaler_fuite
"Chef, y a un problème ici chez nous je voulais savoir je veux savori comment vous caclulez les montants à payer pour l’eau chaque mois parce que dans mon foyer et ça devient compliqué pour moi svp j’ai besoin d’aide et aussi l’eau ne coule plus",info_tarif
étapes pour remettre l’eau dans mon foyer,info_reabonnement
Ça fait plsuieurs jours que j’ai un problème est-ce que vs pouvez m'expliquer je veux voir la liste de tous les documents disponibles depuis que je suis rentré à la maison svp,documents_generaux
je voulais savoir parce que depuis hier soir et ça devient compliqué pour moi aidez-moi svp,info_reabonnement
et aussi expliquez-moi juste votre fonctionnement pas une demande de service,info_tarif
où puis-je vous trouver physiquement,contact_service_client
"Bonsoir, je voulais juste comprendre quelque chose rapidement franchement demander un papier officiel je viens juste de prendre la maison ça me fatigue un peu aidez-moi svp et aussi arrêter mon contrat d’eau",demande_document
"Grand, j’ai un souci avec ça là est-ce que vous pouvez m'expliquer je souhaite passer à l’agence pouvez-vous me donner vos horaires chez moi à Adidogomé veuillez m’aider s’il vous plaît",horaire_agence
"Bonjour, j’aurais besoin d’un renseignement s’il vous lpaît est-ce que vous pouvez m'expliquer svp je ne comprends pas comment vous calculez les tarifs de l’eau chez moi pouvez-vous m’expliquer lcairement je compte sur vs",info_tarif
salut je veux savoir comment utiliser moins d’eau chez moi pour ma maison pourquoi ? merci hein,conseil_consommation
Je viens d’emménager et je ne comprends pas encore tout je voulais savoir kel document vous fournissez parec que sur toute l’installation dans la maison et ça devient compliqué pour moi s’il vous plaît,documents_generaux
je veux savoir comment réactiver mon compteur et aussi avoir l’eau à domicile,info_reabonnement
Je ne comprends pas trop ce qui se passe chez moi je voulais savoir bjr svp l’eau est sale chez moi pouvez-vous vérifier merci parce que nous sommes une grande famille ici et ça devient copmliqué pour moi merci beaucoup et aussi comment faire pour avoir l’eau dans mon foyer,signaler_eau_sale
